date,title_original,title_yours,url,source,excerpt,relevance_score,category,tags,relevance_reason,source_score,source_tier,source_label,source_notes,decision,your_notes
,The State of Internet Censorship in Myanmar | OONI,Research Analysis: Internet Censorship and Network Interference in Myanmar,https://ooni.org/post/myanmar-report/,OONI Explorer,"Open Observatory of Network Interference (OONI) Logo

# The State of Internet Censorship in Myanmar

Myanmar

Myanmar

A research study by the Open Observatory of Network Interference (OONI),
Sinar Project, and the Myanmar ICT for Development Organization (MIDO).

Table of contents

Key Findings

In",10,Censorship,Internet Censorship|Network Shutdowns|Digital Surveillance|Press Freedom|VPN Blocking,"The article is a direct research study on internet censorship, network interference, and the legal environment affecting online freedom in Myanmar.",98,A,Highly Reliable,"Independent technical measurement, open methodology, no editorial bias",PUBLISH,
,Myanmar's junta plans draconian cyber-security law - RSF,Myanmar Junta Proposes New Cyber Law to Expand Online Censorship and Surveillance,https://rsf.org/en/myanmar-s-junta-plans-draconian-cyber-security-law,Reporters Without Borders,"RSF\_en

Partager

 facebook
 twitter
 linkedin
 Email

Reporters Without Borders (RSF) condemns a proposed cyber-security law in Myanmar that would organize online censorship and force social media platforms to share private information about their users when requested by the authorities. This woul",10,Censorship,cyber-security law|online censorship|data privacy|journalist safety|surveillance,"The article directly details a proposed law that would enable online censorship, force platforms to share user data, and specifically threaten journalist confidentiality and press freedom.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,PUBLISH,
,Myanmar: Freedom on the Net 2020 Country Report,"Myanmar's 2020 Internet Freedom: Escalating Censorship, Shutdowns, and Digital Resistance",https://freedomhouse.org/country/myanmar/freedom-net/2020,Freedom House,"The coverage period saw an escalation in technical censorship, with the government ordering the blocking of independent and regionally based news outlets in March 2020. Civil society and ordinary users responded to both the website blocks and internet shutdown with a combination of digital campaigns",10,Shutdown,Internet Censorship|Network Shutdowns|Press Freedom|Digital Activism|Surveillance,"The report directly details technical censorship, website blocking, internet shutdowns, and their impact on journalism and public discourse in Myanmar.",91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,PUBLISH,
,Myanmar's internet freedom declines further as junta expands digital ...,Myanmar's Junta Intensifies Internet Crackdown with VPN Blocks and Infrastructure Disruptions,https://eng.mizzima.com/2025/11/14/28198,eng.mizzima.com,"Nationwide internet disruptions caused by the ongoing armed conflict were compounded by the March 2025 devastating earthquake in Mandalay which severely damaged telecommunications infrastructure.

Myanmar’s junta, according to the report, also intensified restrictions on communication tools. In mid-",10,Shutdown,Internet Freedom|VPN Blocking|Network Shutdowns|Digital Censorship|Surveillance Technology,"The article directly addresses internet freedom decline, nationwide internet disruptions, and the blocking of VPNs and communication tools by the junta.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,Worse than China or Iran? Myanmar's dangerous VPN ban,Myanmar Junta Deploys Advanced System to Block VPNs and Monitor Web Traffic,https://www.accessnow.org/myanmar-vpn-ban/,Access Now,"Justice for Myanmar (JFM) reports that the junta began using a new web surveillance and censorship system at the end of May 2024. The system reportedly allows the military to “intercept and decrypt web traffic and block applications and websites, including the widespread use of virtual private netwo",10,Surveillance & Censorship,VPN blocking|digital censorship|surveillance technology|network shutdowns|journalist safety,"The article directly details a new state system for intercepting, decrypting, and blocking web traffic, specifically targeting VPNs, which impacts all the stated areas of internet freedom and digital safety.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Myanmar: Freedom on the Net 2025 Country Report,"Myanmar's Internet Freedom Under Siege: Shutdowns, Censorship, and Digital Repression",https://freedomhouse.org/country/myanmar/freedom-net/2025,Freedom House,"## header1 Key Developments, June 1, 2024 – May 31, 2025

Myanmar remained one of the world’s worst environments for internet freedom. The military, which seized control of the state in a 2021 coup, continued to impose localized internet shutdowns, manipulate online information, and imprison people ",10,Shutdown,Internet Shutdowns|Digital Censorship|Press Freedom|Surveillance|VPN Blocking,"The report directly details the military regime's use of internet shutdowns, online censorship, VPN blocking, and imprisonment for online dissent, making it highly relevant to all specified topics.",91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,PUBLISH,
,Myanmar's military rulers enact cybersecurity law with wide-ranging ...,Myanmar's Junta Enacts Sweeping Cybersecurity Law to Expand Internet Censorship,https://apnews.com/article/internet-online-censorship-law-repression-8128ba7a2c02555217c6a64ab641eaf6,Associated Press,"AP Logo

Copyright 2026 The Associated Press. All Rights Reserved.

AP Logo

Copyright 2026 The Associated Press. All Rights Reserved.

# Myanmar’s military rulers enact cybersecurity law with wide-ranging censorship provisions

Comments

BANGKOK (AP) —

Military-ruled Myanmar, already notorious for",10,Censorship,cybersecurity_law|internet_censorship|press_freedom|digital_surveillance|legal_repression,The article directly reports on the enactment of a new law by Myanmar's military rulers that imposes wide-ranging internet censorship and control measures.,96,A,Highly Reliable,,PUBLISH,
,The Architecture of Digital Repression - The Citizen Lab,Myanmar's Military Telecom Sector and the Framework of Digital Control,https://citizenlab.ca/research/the-architecture-of-digital-repression/,Citizen Lab,"### Mentions

Irene Poetranto

Share

The military-dominated telecommunications sector in Myanmar has institutionalized digital repression through internet shutdowns, surveillance, and hacking. A 2025 law allowed the government to block websites and surveil users, similar to information controls in ",10,Shutdown,Internet Shutdowns|Digital Censorship|Surveillance Technology|Journalist Safety,"The article directly analyzes Myanmar's institutionalized digital repression through internet shutdowns, surveillance, hacking, and laws enabling website blocking and user surveillance.",97,A,Highly Reliable,University of Toronto. Peer-reviewed research. Gold standard for digital rights.,PUBLISH,
,Myanmar: Scrap Draconian Cybersecurity Bill | Human Rights Watch,Myanmar's Junta Revives Cybersecurity Bill to Enable Shutdowns and Surveillance,https://www.hrw.org/news/2022/02/15/myanmar-scrap-draconian-cybersecurity-bill,Human Rights Watch,"(Bangkok) – Myanmar’s military junta has revived a draconian cybersecurity bill that would provide sweeping powers to the authorities, Human Rights Watch said today. The current draft would allow the junta, in power since the military coup on February 1, 2021, to access user data, block websites, or",10,Shutdown,Internet Shutdowns|Digital Censorship|Press Freedom|Surveillance,"The article directly addresses a bill enabling internet shutdowns, website blocking, data access for surveillance, and prosecution of critics, which are core issues of digital rights and journalist safety in Myanmar.",94,A,Highly Reliable,Leading human rights organisation. Extensive sourcing. Widely cited.,PUBLISH,
,Myanmar - RSF,Myanmar Junta Enforces Media Censorship and Threatens Journalists,https://rsf.org/en/country/myanmar,Reporters Without Borders,"## Political context

The State Administration Council does not tolerate an alternative to its narrative. To this end, it has reestablished the system of prior censorship and prevented the media from covering the numerous human rights violations. The head of the junta, Gen. Min Aung Hlaing, openly p",10,Press Freedom Online,Censorship|Journalist Safety|Legal Framework,"The article directly addresses state censorship, legal suppression of media, and threats to journalists' safety in Myanmar.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
